59,66319;30,529964;r
59,666017;30,532578;r
59,661349;30,530044;r
59,664808;30,53238;r
59,660417;30,52955;r
59,663499;30,531967;r
59,660208;30,527673;r
59,661549;30,531347;r
59,663772;30,529236;r
59,663613;30,530359;r
59,663867;30,527897;r
59,664703;30,527879;r
59,664626;30,528913;r
59,664526;30,529946;r
59,664317;30,530997;r
59,664781;30,526002;r
59,665008;30,527044;r
59,664262;30,52461;r
59,663653;30,523756;r
59,679216;30,497085;r
59,633343;30,540213;r
59,335315;31,210985;r
59,33335;31,210698;r
59,336026;31,208084;r
59,346475;31,254149;r
59,346865;31,242795;r
59,350159;31,24787;r
59,341533;31,236686;r
59,366949;31,249793;r
59,366629;31,252155;r
59,724428;30,609734;r
59,733264;30,618546;r
59,730116;30,615187;r
59,685367;30,667073;r
59,669293;30,700024;r
59,672324;30,697904;r
59,680061;30,705243;r
59,685444;30,70792;r
59,684274;30,744321;r
59,658367;30,786217;r
59,656722;30,793107;r
59,648493;30,778114;r
59,641039;30,764091;r
59,664449;30,797769;r
59,664626;30,791481;r
59,641198;30,761675;r
59,646619;30,779102;r
59,707801;30,780279;r
59,693778;30,787663;r
59,696506;30,785453;r
59,701709;30,787187;r
59,701759;30,786082;r
59,54632;30,868646;r
59,54413;30,873713;r
59,542862;30,874998;r
59,540559;30,87577;r
59,542128;30,873596;r
59,540317;30,879965;r
59,538291;30,88275;r
59,537885;30,883648;r
59,537657;30,884816;r
59,538013;30,878357;r
59,539669;30,878636;r
59,536772;30,880926;r
59,545366;30,876498;r
59,543546;30,879902;r
59,54377;30,880531;r
59,544883;30,875653;r
59,543118;30,879022;r
59,541229;30,864649;r
59,540299;30,863813;r
59,541111;30,86278;r
59,537607;30,858576;r
59,539519;30,86508;r
59,540499;30,866392;r
59,537311;30,875635;r
59,547182;30,86084;r
59,545275;30,862583;r
59,548696;30,856834;r
59,541544;30,877531;g
59,54054;30,869958;g
59,530759;30,872602;g
59,540051;30,871191;g
59,540618;30,877724;g
59,541544;30,877531;g
59,564337;30,844604;g
59,545098;30,878676;g
59,54449;30,879477;g
59,541169;30,874953;g
59,543092;30,881569;g
59,538961;30,873673;g
59,539172;30,875249;g
59,538296;30,873354;g
59,547238;30,864011;g
59,545768;30,870377;g
59,535071;30,887787;g
59,644635;30,769458;g
59,644118;30,775329;g
59,699122;30,785139;g
59,699889;30,785292;g
59,701709;30,787187;g
59,708768;30,781429;g
59,707288;30,7846;g
59,703739;30,788382;g
59,705368;30,789307;g
59,702468;30,786298;g
59,701333;30,792173;g
59,702027;30,7937;g
59,705573;30,793556;g
59,707801;30,780279;g
59,709113;30,777234;g
59,707343;30,775823;g
59,697655;30,792254;g
59,706934;30,787115;g
59,705141;30,787196;g
